Airline,Date_of_Journey,Source,Destination,Route,Additional_Info,Price,Duration_in_mins,Month_of_Journey,Dep_Time_in_htclass,Day_of_Journey,Totalno_Stops
IndiGo,24/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4823,170,June,late morning,Monday,0
Jet Airways,01/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,12996,475,January,late morning,Friday,1
Air India,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,9929,615,May,late morning,Monday,1
Multiple carriers,03/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,9508,930,March,late morning,Wednesday,1
Air India,21/03/2019,Delhi,Cochin,DEL ? COK,No Info,5674,185,March,evening,Thursday,0
IndiGo,18/06/2019,Chennai,Kolkata,MAA ? CCU,No Info,3858,145,June,late morning,Tuesday,0
IndiGo,24/05/2019,Kolkata,Banglore,CCU ? BLR,No Info,4804,155,May,night,Friday,0
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,13377,690,May,afternoon,Monday,1
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12898,805,May,afternoon,Monday,1
Air Asia,01/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,4409,155,January,late morning,Sunday,0
Air Asia,01/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,8759,870,January,early morning,Sunday,1
Air India,03/03/2019,Banglore,New Delhi,BLR ? AMD ? DEL,No Info,10394,1405,March,midnight,Sunday,1
IndiGo,18/03/2019,Chennai,Kolkata,MAA ? CCU,No Info,3858,145,March,late morning,Monday,0
Air Asia,15/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,6253,330,June,early morning,Saturday,1
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,15129,1045,May,night,Monday,2
GoAir,24/03/2019,Kolkata,Banglore,CCU ? HYD ? BLR,No Info,4773,470,March,early morning,Sunday,1
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,9663,1610,May,early morning,Tuesday,1
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,12692,1005,December,evening,Friday,1
IndiGo,06/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,165,June,midnight,Thursday,0
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,In-flight meal not included,10703,1685,December,evening,Thursday,1
IndiGo,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,8784,860,March,early morning,Wednesday,1
Multiple carriers,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,11622,585,September,late morning,Friday,1
IndiGo,24/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,5277,140,May,night,Friday,0
Air Asia,21/05/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,8327,865,May,evening,Tuesday,1
IndiGo,09/03/2019,Delhi,Cochin,DEL ? COK,No Info,6885,195,September,early morning,Tuesday,0
Jet Airways,12/06/2019,Banglore,Delhi,BLR ? DEL,No Info,8016,180,December,evening,Friday,0
IndiGo,01/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,No Info,10112,305,January,night,Sunday,1
IndiGo,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14871,485,June,evening,Monday,1
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,600,September,late morning,Friday,1
Jet Airways,24/03/2019,Mumbai,Hyderabad,BOM ? HYD,In-flight meal not included,2470,90,March,night,Sunday,0
Air India,09/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,No Info,11622,1210,September,noon,Tuesday,2
Vistara,06/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,8662,865,June,night,Wednesday,1
Air India,24/06/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,No Info,11972,1560,June,evening,Monday,2
Jet Airways,06/06/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,In-flight meal not included,11992,1140,June,late morning,Thursday,2
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12373,1105,May,late morning,Saturday,1
Multiple carriers,01/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7198,930,January,late morning,Sunday,1
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14714,330,June,early morning,Saturday,1
IndiGo,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,6316,570,September,evening,Friday,1
Air India,27/03/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,5998,875,March,evening,Wednesday,1
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,13044,1285,December,evening,Friday,1
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,9646,565,December,noon,Friday,1
Air Asia,27/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,6451,865,June,evening,Thursday,1
GoAir,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,5281,355,June,early morning,Monday,1
Jet Airways,01/05/2019,Mumbai,Hyderabad,BOM ? HYD,In-flight meal not included,2228,90,January,night,Saturday,0
IndiGo,01/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,165,January,early morning,Sunday,0
Air India,15/06/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,No Info,11753,1245,June,late morning,Saturday,2
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? MAA ? BOM ? COK,In-flight meal not included,8728,1735,March,noon,Thursday,2
SpiceJet,09/05/2019,Delhi,Cochin,DEL ? PNQ ? COK,No Info,4812,270,September,late morning,Thursday,1
Jet Airways,01/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,14151,1745,January,evening,Saturday,1
Vistara,01/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,8452,765,January,night,Saturday,1
IndiGo,24/03/2019,Kolkata,Banglore,CCU ? HYD ? BLR,No Info,6762,305,March,afternoon,Sunday,1
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,13817,1100,December,evening,Tuesday,1
Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12898,1355,May,afternoon,Tuesday,1
IndiGo,06/04/2019,Kolkata,Banglore,CCU ? HYD ? BLR,No Info,3480,265,June,night,Tuesday,1
Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,1 Long layover,27992,580,January,late morning,Thursday,1
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,In-flight meal not included,7791,600,March,evening,Thursday,2
Air India,21/03/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,5704,1010,March,early morning,Thursday,1
IndiGo,21/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,No Info,5268,340,May,evening,Tuesday,1
GoAir,06/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3898,170,June,late morning,Thursday,0
SpiceJet,15/03/2019,Kolkata,Banglore,CCU ? BLR,No Info,3847,150,March,late morning,Friday,0
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,10877,690,December,early morning,Friday,1
Multiple carriers,09/04/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,8371,630,September,late morning,Wednesday,1
Multiple carriers,06/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,7038,920,June,early morning,Thursday,1
Jet Airways,09/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14571,590,September,early morning,Friday,1
Jet Airways,09/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,11841,800,September,night,Friday,1
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,15129,1390,May,noon,Saturday,2
SpiceJet,15/06/2019,Kolkata,Banglore,CCU ? BLR,No check-in baggage included,3841,140,June,night,Saturday,0
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,1505,June,late morning,Monday,1
Air India,06/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,4460,155,June,night,Tuesday,0
IndiGo,03/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,7648,175,March,evening,Sunday,0
Vistara,06/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,8610,790,June,early morning,Thursday,1
IndiGo,18/06/2019,Chennai,Kolkata,MAA ? CCU,No Info,3597,140,June,noon,Tuesday,0
IndiGo,24/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,6442,515,June,early morning,Monday,1
IndiGo,09/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,12351,860,September,early morning,Tuesday,1
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14067,480,May,evening,Tuesday,1
IndiGo,15/05/2019,Banglore,Delhi,BLR ? DEL,No Info,4823,170,May,night,Wednesday,0
Vistara,24/03/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,12102,1750,March,evening,Sunday,1
Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,8040,85,May,early morning,Friday,0
IndiGo,09/05/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,6582,325,September,midnight,Thursday,1
Vistara,12/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4668,170,December,late morning,Friday,0
IndiGo,01/04/2019,Banglore,Delhi,BLR ? DEL,No Info,4823,170,January,night,Friday,0
SpiceJet,01/05/2019,Kolkata,Banglore,CCU ? BLR,No Info,3873,140,January,night,Saturday,0
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,8476,535,May,late morning,Saturday,1
IndiGo,27/05/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,5636,315,May,early morning,Monday,1
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,8586,685,December,late morning,Thursday,1
IndiGo,06/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4823,175,June,evening,Thursday,0
Air India,06/03/2019,Delhi,Cochin,DEL ? COK,No Info,6881,170,June,early morning,Monday,0
Jet Airways,09/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,510,September,afternoon,Thursday,1
IndiGo,24/04/2019,Kolkata,Banglore,CCU ? BBI ? BLR,No Info,4226,220,April,night,Wednesday,1
Jet Airways,09/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12373,1425,September,night,Thursday,1
Air India,06/06/2019,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,No Info,10697,810,June,late morning,Thursday,2
Jet Airways,03/06/2019,Mumbai,Hyderabad,BOM ? HYD,In-flight meal not included,4995,90,March,late morning,Wednesday,0
Air India,24/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,9443,1595,June,evening,Monday,2
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,No Info,12347,2040,March,evening,Thursday,2
Multiple carriers,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7408,480,September,noon,Friday,1
Jet Airways,01/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,7064,865,January,evening,Friday,1
Jet Airways,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,13843,925,June,noon,Monday,1
IndiGo,12/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,4174,155,December,afternoon,Wednesday,0
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? GWL ? IDR ? BOM ? COK,No Info,16294,565,May,late morning,Wednesday,3
SpiceJet,18/05/2019,Kolkata,Banglore,CCU ? BLR,No check-in baggage included,3841,155,May,early morning,Saturday,0
IndiGo,15/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4423,170,June,early morning,Saturday,0
Air India,12/06/2019,Delhi,Cochin,DEL ? COK,No Info,5201,170,December,early morning,Friday,0
Air India,03/03/2019,Banglore,New Delhi,BLR ? BOM ? IDR ? DEL,No Info,12599,1705,March,early morning,Sunday,2
IndiGo,21/05/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,4049,90,May,early morning,Tuesday,0
Air India,24/05/2019,Kolkata,Banglore,CCU ? BOM ? TRV ? BLR,No Info,12797,1505,May,late morning,Friday,2
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,13067,870,May,night,Friday,1
Vistara,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,9345,1350,May,night,Friday,1
IndiGo,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,6818,425,May,early morning,Tuesday,1
Jet Airways,03/05/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,8040,90,March,late morning,Tuesday,0
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,No Info,14300,1095,December,evening,Friday,2
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,13727,435,May,evening,Wednesday,1
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,7832,1050,March,evening,Thursday,1
Multiple carriers,09/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,16259,535,September,early morning,Tuesday,1
IndiGo,27/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4823,170,June,late morning,Thursday,0
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,16736,1235,June,late morning,Monday,1
Air India,06/06/2019,Kolkata,Banglore,CCU ? BOM ? AMD ? BLR,No Info,13217,1200,June,late morning,Thursday,2
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,6637,490,March,noon,Wednesday,1
Jet Airways,09/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,1025,September,evening,Friday,1
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,8401,555,March,late morning,Thursday,1
SpiceJet,12/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,3873,145,December,late morning,Wednesday,0
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,In-flight meal not included,12410,505,June,night,Monday,2
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,15129,810,May,night,Saturday,2
IndiGo,01/05/2019,Banglore,Delhi,BLR ? DEL,No Info,4423,170,January,noon,Saturday,0
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,16079,360,May,noon,Monday,1
Air India,06/06/2019,Kolkata,Banglore,CCU ? VNS ? DEL ? BLR,No Info,15894,1105,June,afternoon,Thursday,2
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,9103,845,May,early morning,Wednesday,1
Air India,12/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,8991,1350,December,late morning,Friday,1
Air India,01/04/2019,Kolkata,Banglore,CCU ? BOM ? HBX ? BLR,No Info,7893,1530,January,evening,Friday,2
IndiGo,03/03/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,4575,90,March,midnight,Sunday,0
SpiceJet,03/05/2019,Kolkata,Banglore,CCU ? BLR,No Info,3873,145,March,late morning,Tuesday,0
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,7832,935,March,early morning,Thursday,1
IndiGo,01/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,3597,140,January,afternoon,Saturday,0
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,13759,1575,March,night,Sunday,1
Jet Airways,27/05/2019,Banglore,Delhi,BLR ? DEL,No Info,7229,185,May,evening,Monday,0
SpiceJet,15/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,3873,155,April,early morning,Monday,0
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,9794,780,May,early morning,Wednesday,1
Air India,27/03/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,6681,1125,March,noon,Wednesday,1
IndiGo,21/04/2019,Banglore,Delhi,BLR ? DEL,No Info,4423,180,April,night,Sunday,0
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,685,May,late morning,Wednesday,1
IndiGo,01/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7258,705,January,late morning,Sunday,1
Jet Airways,12/06/2019,Mumbai,Hyderabad,BOM ? HYD,In-flight meal not included,4995,90,December,late morning,Friday,0
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14924,1325,September,night,Friday,1
Vistara,15/03/2019,Banglore,New Delhi,BLR ? AMD ? DEL,No Info,6590,1665,March,early morning,Friday,1
Jet Airways,03/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,940,March,night,Wednesday,1
SpiceJet,09/03/2019,Kolkata,Banglore,CCU ? BLR,No Info,5515,150,September,late morning,Tuesday,0
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,In-flight meal not included,6643,1475,March,night,Wednesday,2
IndiGo,24/06/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,2754,90,June,night,Monday,0
IndiGo,09/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,6493,310,September,evening,Friday,1
IndiGo,24/05/2019,Kolkata,Banglore,CCU ? NAG ? BLR,No Info,6218,325,May,evening,Friday,1
Air India,06/06/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,No Info,10861,800,June,early morning,Thursday,2
IndiGo,06/03/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,7094,515,June,early morning,Monday,1
SpiceJet,24/03/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,2227,85,March,night,Sunday,0
Jet Airways,21/04/2019,Banglore,Delhi,BLR ? DEL,In-flight meal not included,4544,180,April,night,Sunday,0
Air India,21/03/2019,Banglore,New Delhi,BLR ? CCU ? BBI ? DEL,No Info,7664,630,March,early morning,Thursday,2
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,No Info,8016,180,June,evening,Thursday,0
Air Asia,27/05/2019,Kolkata,Banglore,CCU ? BLR,No Info,3807,150,May,night,Monday,0
Air India,03/06/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,No Info,12698,725,March,early morning,Wednesday,2
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,8586,1330,May,early morning,Friday,1
Jet Airways,01/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,7064,1330,January,early morning,Friday,1
IndiGo,09/06/2019,Delhi,Cochin,DEL ? COK,No Info,5601,195,September,early morning,Friday,0
SpiceJet,21/05/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,7317,380,May,afternoon,Tuesday,1
Air India,06/05/2019,Kolkata,Banglore,CCU ? DEL ? COK ? TRV ? BLR,No Info,12797,1470,June,late morning,Wednesday,3
IndiGo,06/04/2019,Kolkata,Banglore,CCU ? MAA ? BLR,No Info,4226,255,June,early morning,Tuesday,1
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,14151,395,December,evening,Thursday,1
IndiGo,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,6628,890,March,late morning,Wednesday,1
IndiGo,09/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,8033,170,September,early morning,Tuesday,0
Multiple carriers,01/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,11200,505,January,late morning,Sunday,1
IndiGo,24/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,4804,155,June,afternoon,Monday,0
Air Asia,12/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,5192,720,December,night,Friday,1
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,No Info,13014,1125,December,late morning,Friday,2
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,1525,May,night,Tuesday,1
Multiple carriers,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,15603,510,June,early morning,Monday,1
GoAir,03/04/2019,Banglore,Delhi,BLR ? DEL,No Info,4239,175,March,early morning,Monday,0
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,13044,1200,December,afternoon,Friday,1
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12898,1485,May,evening,Monday,1
SpiceJet,01/04/2019,Kolkata,Banglore,CCU ? PNQ ? BLR,No Info,6013,520,January,late morning,Friday,1
Jet Airways,06/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14781,365,June,evening,Wednesday,1
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,12557,655,March,evening,Thursday,1
Multiple carriers,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,13875,845,June,early morning,Monday,1
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,In-flight meal not included,11507,1130,June,late morning,Saturday,2
Air India,18/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,5510,150,June,afternoon,Tuesday,0
GoAir,24/03/2019,Kolkata,Banglore,CCU ? AMD ? BLR,No Info,10198,460,March,evening,Sunday,1
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? GAU ? BLR,No Info,8355,435,December,late morning,Friday,1
Jet Airways,01/06/2019,Banglore,Delhi,BLR ? DEL,No Info,8016,185,January,evening,Sunday,0
IndiGo,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,6314,625,May,late morning,Monday,1
Air India,09/03/2019,Delhi,Cochin,DEL ? COK,No Info,5831,170,September,early morning,Tuesday,0
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,550,June,night,Monday,1
Multiple carriers,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,15136,700,June,noon,Monday,1
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,7832,830,March,night,Thursday,1
SpiceJet,24/03/2019,Chennai,Kolkata,MAA ? CCU,No Info,3859,135,March,late morning,Sunday,0
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,19225,340,June,early morning,Monday,1
IndiGo,09/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,10518,975,September,early morning,Tuesday,1
IndiGo,06/04/2019,Banglore,Delhi,BLR ? DEL,No Info,4823,175,June,early morning,Tuesday,0
Air India,24/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,7276,165,March,late morning,Sunday,0
Multiple carriers,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,12192,540,September,late morning,Friday,1
Air Asia,01/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,11410,865,January,evening,Sunday,1
Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,26890,570,January,early morning,Thursday,1
IndiGo,27/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,4804,150,June,afternoon,Thursday,0
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,1550,May,evening,Wednesday,1
Air India,12/06/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,No Info,12436,1820,December,noon,Friday,2
IndiGo,21/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4823,175,June,early morning,Friday,0
IndiGo,03/06/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,2227,90,March,night,Wednesday,0
Jet Airways,01/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,940,January,night,Sunday,1
Jet Airways,03/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,17024,1225,March,late morning,Sunday,1
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? IXC ? BOM ? COK,In-flight meal not included,9296,1325,March,early morning,Wednesday,2
Air India,06/06/2019,Delhi,Cochin,DEL ? COK,No Info,6094,185,June,evening,Thursday,0
Jet Airways,09/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,8586,1215,September,late morning,Friday,1
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,In-flight meal not included,10919,1300,June,early morning,Saturday,2
GoAir,09/06/2019,Kolkata,Banglore,CCU ? AMD ? BLR,No Info,9495,455,September,evening,Friday,1
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14714,395,December,night,Friday,1
Air India,24/06/2019,Delhi,Cochin,DEL ? COK,No Info,5201,180,June,afternoon,Monday,0
Air India,27/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,No Info,7090,1420,March,late morning,Wednesday,2
IndiGo,15/05/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,4575,90,May,late morning,Wednesday,0
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,9646,545,May,early morning,Wednesday,1
IndiGo,12/06/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,5636,325,December,midnight,Friday,1
Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,9646,545,June,early morning,Saturday,1
Jet Airways,09/03/2019,Mumbai,Hyderabad,BOM ? HYD,In-flight meal not included,4050,90,September,night,Tuesday,0
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14714,1270,September,night,Friday,1
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10577,1485,September,evening,Friday,1
GoAir,15/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3898,165,June,night,Saturday,0
Jet Airways,06/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14571,960,June,night,Thursday,1
Jet Airways,18/06/2019,Banglore,Delhi,BLR ? DEL,No Info,8016,165,June,early morning,Tuesday,0
IndiGo,21/03/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,6287,425,March,early morning,Thursday,1
Air India,06/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,8366,905,June,evening,Thursday,1
Jet Airways,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,15400,440,June,late morning,Monday,1
Vistara,03/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,8553,160,March,night,Sunday,0
SpiceJet,09/04/2019,Kolkata,Banglore,CCU ? BLR,No check-in baggage included,3841,155,September,early morning,Wednesday,0
Air India,09/04/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,No Info,10021,1545,September,early morning,Wednesday,2
SpiceJet,24/06/2019,Chennai,Kolkata,MAA ? CCU,No Info,3597,140,June,evening,Monday,0
IndiGo,24/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,4332,145,May,late morning,Friday,0
GoAir,21/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3898,165,June,night,Friday,0
Jet Airways,06/03/2019,Mumbai,Hyderabad,BOM ? BDQ ? DEL ? HYD,No Info,21375,1665,June,noon,Monday,2
Vistara,06/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,8610,975,June,early morning,Thursday,1
IndiGo,15/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,4804,155,June,evening,Saturday,0
Air India,01/06/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,No Info,13591,1730,January,afternoon,Sunday,2
